Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00       13     0.00     0.00  bool std::operator!=<std::_Rb_tree_const_iterator<std::pair<double const, std::deque<Order, std::allocator<Order> > > > >(std::reverse_iterator<std::_Rb_tree_const_iterator<std::pair<double const, std::deque<Order, std::allocator<Order> > > > > const&, std::reverse_iterator<std::_Rb_tree_const_iterator<std::pair<double const, std::deque<Order, std::allocator<Order> > > > > const&)
  0.00      0.00     0.00       12     0.00     0.00  __gnu_cxx::new_allocator<Order>::new_allocator(__gnu_cxx::new_allocator<Order> const&)
  0.00      0.00     0.00       12     0.00     0.00  std::_Deque_iterator<Order, Order const&, Order const*>::operator*() const
  0.00      0.00     0.00       12     0.00     0.00  std::reverse_iterator<std::_Rb_tree_const_iterator<std::pair<double const, std::deque<Order, std::allocator<Order> > > > >::operator->() const
  0.00      0.00     0.00       12     0.00     0.00  std::_Rb_tree_const_iterator<std::pair<double const, std::deque<Order, std::allocator<Order> > > >::operator->() const
  0.00      0.00     0.00       12     0.00     0.00  std::deque<Order, std::allocator<Order> >::end() const
  0.00      0.00     0.00       12     0.00     0.00  std::deque<Order, std::allocator<Order> >::begin() const
  0.00      0.00     0.00       12     0.00     0.00  std::allocator<Order>::allocator(std::allocator<Order> const&)
  0.00      0.00     0.00       12     0.00     0.00  std::_Deque_iterator<Order, Order const&, Order const*>::operator++()
  0.00      0.00     0.00       12     0.00     0.00  std::pair<double const, std::deque<Order, std::allocator<Order> > > const* std::reverse_iterator<std::_Rb_tree_const_iterator<std::pair<double const, std::deque<Order, std::allocator<Order> > > > >::_S_to_pointer<std::_Rb_tree_const_iterator<std::pair<double const, std::deque<Order, std::allocator<Order> > > > >(std::_Rb_tree_const_iterator<std::pair<double const, std::deque<Order, std::allocator<Order> > > >)
  0.00      0.00     0.00       12     0.00     0.00  bool std::operator==<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*)
  0.00      0.00     0.00       10     0.00     0.00  std::_Rb_tree<double, std::pair<double const, std::deque<Order, std::allocator<Order> > >, std::_Select1st<std::pair<double const, std::deque<Order, std::allocator<Order> > > >, std::less<double>, std::allocator<std::pair<double const, std::deque<Order, std::allocator<Order> > > > >::_M_end()
  0.00      0.00     0.00        8     0.00     0.00  Order::Order(OrderType, OrderSide, double, int)
  0.00      0.00     0.00        8     0.00     0.00  std::chrono::duration<long, std::ratio<1l, 1000000000l> >::duration<long, void>(long const&)
  0.00      0.00     0.00        8     0.00     0.00  std::common_type<std::chrono::duration<long, std::ratio<1l, 1000000000l> >, std::chrono::duration<long, std::ratio<1l, 1000000000l> > >::type std::chrono::operator-<std::chrono::_V2::system_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> >, std::chrono::duration<long, std::ratio<1l, 1000000000l> > >(std::chrono::time_point<std::chrono::_V2::system_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> > > const&, std::chrono::time_point<std::chrono::_V2::system_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> > > const&)
